0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:22 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:22 -0300] "GET /ProjetoIndividual/imgs/lupa.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:22 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:22 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:22 -0300] "GET /ProjetoIndividual/imgs/lixeira.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:22 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:23 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:23 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:23 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:23 -0300] "GET /ProjetoIndividual/imgs/lupa.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:23 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:23 -0300] "GET /ProjetoIndividual/imgs/lixeira.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:23 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:23 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/lupa.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/lixeira.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/lupa.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/lixeira.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/lupa.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/lixeira.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/lupa.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/lixeira.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/lupa.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/lixeira.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:24 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/lixeira.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/lupa.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/lixeira.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/lupa.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/lupa.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/lixeira.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/lupa.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/lixeira.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/lupa.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/lixeira.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/lupa.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/lixeira.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:25 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:26 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:26 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:26 -0300] "GET /ProjetoIndividual/imgs/lupa.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:26 -0300] "GET /ProjetoIndividual/imgs/lixeira.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:26 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:26 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:30 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5836
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:30 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:30 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:30 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:30 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:30 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:30 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5836
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:30 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:30 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:30 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:30 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:30 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:30 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5836
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:30 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:30 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:30 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:30 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:15:30 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:37 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:37 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:37 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:37 -0300] "GET /ProjetoIndividual/imgs/deleteR.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/imgs/deleteR.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/imgs/deleteR.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/imgs/deleteR.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/imgs/deleteR.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/imgs/deleteR.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:46 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:47 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:47 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:47 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:47 -0300] "GET /ProjetoIndividual/imgs/deleteR.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:47 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:47 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:47 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:47 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:47 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:47 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:47 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:47 -0300] "GET /ProjetoIndividual/imgs/deleteR.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:17:47 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
